"latitude","longitude","x","y","harps","hooded","area","length","lengthNm","width","widthNm"
71.37201502,-18.37464377,-15.4851203063083,-4.98973707971972,0,0,107588.434101977,265.134084179104,0.14316095258051,405.788770746269,0.219108407530383
71.37201503,-18.36691843,-15.3372321674548,-4.99170653442138,0,0,106749.995299447,264.098965970149,0.142602033461204,404.204518208955,0.218252979594468
71.37201504,-18.35909251,-15.1874183161783,-4.99368236244707,0,0,106218.992481739,263.441297910448,0.142246921117952,403.197954626866,0.217709478740208
71.37201505,-18.35120957,-15.0365126283161,-4.9956529777819,0,0,106272.904600602,263.508145074627,0.142283015699043,403.300264477612,0.217764721640179
71.37201506,-18.34328585,-14.8848259889934,-4.99761395333334,0,0,104323.417146562,261.08004,0.140971943844492,399.58404,0.215758120950324
71.37201507,-18.33535397,-14.7329828548843,-4.99955702973739,0,0,103860.939135348,260.500697910448,0.14065912414171,398.697354626866,0.215279349150575
71.37201508,-18.32745379,-14.5817462859415,-5.00147252799417,0,0,104350.399759669,261.11380119403,0.140990173430902,399.635711641791,0.215786021404855
71.37201509,-18.31958347,-14.4310810643823,-5.00336112543968,0,0,106074.749574228,263.26236358209,0.142150304309984,402.924094925373,0.217561606331195
71.3720151,-18.31174222,-14.2809720727839,-5.00522323205585,0,0,107132.984016105,264.572297910448,0.142857612262661,404.928954626866,0.21864414396699
71.37201511,-18.30392654,-14.1313523145127,-5.00705988284786,0,0,107835.72247307,265.438610149254,0.143325383449921,406.254848955224,0.21936006963025
71.37201512,-18.29615424,-13.9825627422154,-5.00886714700946,0,0,108671.796860643,266.465625671642,0.143879927468489,407.826700298507,0.220208801457077
71.37201513,-18.28842062,-13.8345133879513,-5.01064642085838,0,0,109111.738647728,267.004454328358,0.14417087166758,408.651379701492,0.220654092711389
71.37201514,-18.2806924,-13.6865671575086,-5.01240552588037,0,0,109863.562079413,267.92275880597,0.14466671641791,410.056848358209,0.221412985074627
71.37201515,-18.27290895,-13.5375633725816,-5.01415808394855,0,0,110435.785935712,268.619589850746,0.145042975081396,411.123351044776,0.221988850456143
71.37201516,-18.26504841,-13.3870835489498,-5.0159085289799,0,0,111040.113494799,269.353558208955,0.145439286289933,412.246692537313,0.222595406337642
71.37201517,-18.25712058,-13.2353152907224,-5.01765413881816,0,0,112005.882556506,270.522370746269,0.146070394571419,414.035564776119,0.223561320073499
71.37201518,-18.24916037,-13.0829269036714,-5.01938684913348,0,0,112436.829000414,271.042293134328,0.146351130202121,414.831308059701,0.223990987073273
71.37201519,-18.2411892,-12.930328448079,-5.02110183197681,0,0,112266.030469694,270.836349850746,0.146239929725025,414.516111044776,0.223820794300635
71.3720152,-18.23321758,-12.7777211276457,-5.02279678211815,0,0,111839.881488369,270.321829253731,0.145962110828149,413.728635223881,0.223395591373586
71.37201521,-18.22523639,-12.6249303531582,-5.02447360136562,0,0,111446.331480712,269.84579641791,0.145705073659779,413.000065074627,0.223002194964701
71.36682798,-18.2172143,-12.4747058982808,-5.33702679594035,0,0,110783.058893883,269.041604776119,0.145270844911512,411.769246567164,0.222337606137778
71.36691924,-18.20914801,-12.3201858206404,-5.33321202859129,0,0,109979.882526422,268.064555820896,0.144743280680829,410.273869253731,0.221530166983656
71.36705671,-18.20105666,-12.165157987384,-5.32661215087146,0,0,109314.366112597,267.252261492537,0.144304676831824,409.030649552239,0.220858882047645
71.36726646,-18.1929754,-12.0102803915304,-5.31565750696218,0,0,109887.375064814,267.951793432836,0.144682393862222,410.101285970149,0.221436979465523
71.36754484,-18.18491995,-11.8558580212381,-5.30056383048888,0,0,110177.768534017,268.305610746269,0.144873439927791,410.642804776119,0.221729376229006
71.36786308,-18.17686412,-11.7014084412243,-5.28306066560828,0,0,109070.904655651,266.954487761194,0.144143891879694,408.574905671642,0.220612800038683
71.36821732,-18.16878427,-11.546482261819,-5.26338386164334,0,0,108228.346760264,265.921395223881,0.143586066535573,406.993753432836,0.219759046130041
71.36858187,-18.16070024,-11.3914754099394,-5.24306918630987,0,0,108267.373567889,265.969336119403,0.143611952548274,407.067127164179,0.219798664775475
71.36880184,-18.15257187,-11.2357092824652,-5.23140723432796,0,0,109115.049846893,267.008505671642,0.144173059217949,408.657580298507,0.220657440765933
71.36889698,-18.14441939,-11.0795564348615,-5.22721029299404,0,0,109443.107259694,267.409588656716,0.144389626704491,409.271439402985,0.220988898165759
71.36892529,-18.13626203,-10.9233492536773,-5.22699855406337,0,0,110090.166792155,268.198925373134,0.144815834434738,410.47952238806,0.221641210792689
71.36892195,-18.12811949,-10.767443713367,-5.22866000261845,0,0,110800.853939858,269.063211940299,0.145282511846813,411.80231641791,0.222355462428677
71.36888214,-18.11997813,-10.611580530102,-5.23248603846212,0,0,111289.663040857,269.656058507463,0.145602623384159,412.709670447761,0.222845394410238
71.36883059,-18.11184336,-10.455849026165,-5.2369935680482,0,0,112089.208925156,270.622979104478,0.146124718738919,414.189546268657,0.223644463428
71.36878767,-18.10370809,-10.3001023047,-5.24096299043999,0,0,112515.27179884,271.136824477612,0.146402173044067,414.975988656716,0.224069108345959
71.36875479,-18.09557803,-10.1444491695959,-5.24430883371298,0,0,112797.331255748,271.476462089552,0.146585562683344,415.495805373134,0.224349786918539
71.36872903,-18.08743395,-9.98852316911785,-5.2472093229911,0,0,111977.927630927,270.488609552239,0.14605216498501,413.983893134328,0.223533419618968
71.36871699,-18.07927391,-9.83228397090941,-5.24926909568475,0,0,112051.176940284,270.577063880597,0.146099926501402,414.119272835821,0.223606518809838
